word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
맛집,0.30911675,0.39666072,-0.15142556,0.20077458,0.043326057,0.11275145,0.27841347,0.056161013,-0.008107528,0.16089636,0.21935044,-0.13507308,0.20045763,0.005437413,-8.257478e-05,-0.0075244517,0.121622406,-0.13136888,-0.0107112415,-0.5247467,0.10392573,-0.08209415,-0.05206861,0.1564049,0.10505615,-0.24081033,0.02708292,-0.074174725,-0.08762908,0.016700685,0.082991734,-0.14886522,0.4644325,-0.24087493,-0.2639186,0.12903404,0.36749268,0.23781739,-0.37304243,-0.03888204,-0.37496585,0.11794821,0.015929628,0.26433244,0.013115574,-0.017034411,-0.0071436223,0.072898485,-0.019015513,0.5708597,-0.36678058,0.12195412,-0.23423555,0.08007118,0.046406552,-0.20179814,0.009935372,-0.12187779,-0.05306133,0.06677511,0.06437403,-0.24598567,0.3565661,0.03357894,-0.52445096,0.069210194,-0.30013856,0.20796356,-0.2054904,-0.01774963,0.11125375,0.4699512,0.27844268,0.22294202,0.20485802,0.12142039,-0.094767585,0.14773528,-0.27861205,-0.0578249,0.12263611,-0.07802565,-0.24605678,-0.017700635,-0.0069470326,-0.26956338,0.016843757,0.028675366,0.40327752,0.12817635,0.00066415686,0.26197767,-0.04724465,0.077843346,0.42910215,0.27525854,-0.01214952,-0.20679292,0.11806208,-0.2843617
전,0.4076726,0.6388002,-0.19544016,0.32641143,0.07667171,0.186115,0.4194992,-0.024699906,-0.01082647,0.38816458,0.23395352,-0.19587064,0.12459519,-0.1283254,-0.01495896,0.07112883,0.10868828,-0.2115103,-0.017134404,-0.3903812,-0.105645515,-0.015543404,0.18734421,0.2237938,0.0034139417,-0.20861202,-0.07683851,-0.19728039,-0.03237611,0.086046904,0.2351905,-0.21604413,0.55987513,-0.35759005,-0.30954182,0.019628072,0.19627652,0.35384685,-0.36167264,-0.16334395,-0.4568335,0.12679294,0.10958722,0.013404585,-0.025073173,-0.038454667,0.08626334,0.10430905,-0.11686243,0.55709964,-0.51548356,0.0033066815,-0.22073977,-0.030384574,0.048492562,-0.19612584,-0.10545446,-0.050687682,-0.053533923,-0.046579715,0.17222093,-0.4066614,0.24536473,0.19923957,-0.34786725,-0.054012515,-0.26959485,0.26254815,-0.25510186,-0.09278022,0.25183392,0.3952489,0.31807953,0.20820914,0.115336195,-0.031120285,-0.27591434,0.19511195,-0.2826951,-0.107840896,0.093196064,-0.29990742,-0.1841421,-0.12780763,0.09080371,-0.39834404,0.10566167,-0.024385741,0.375365,0.07200174,0.062647276,0.05326051,-0.12656678,-0.041123353,0.40868834,0.2003673,-0.05626331,-0.23488839,-0.10325166,-0.1435005
월,-0.15437604,0.3070994,0.026655313,0.076734886,0.081171565,-0.096463576,0.18110546,0.23715724,-0.28405398,-0.010909558,-0.058719985,-0.22779995,-0.16998251,0.14706059,-0.040924344,-0.0031965293,0.1547994,-0.1338889,-0.15555444,-0.51431614,-0.08965234,0.041737955,0.4463247,0.07081037,-0.11143049,0.05338273,-0.10023837,-0.041288044,-0.14869183,0.16045214,0.3282497,-0.33759183,0.18594098,-0.52221304,-0.22583501,0.03125151,0.07508209,0.106073014,-0.19996347,-0.085074425,0.053637553,0.0006637794,-0.11422911,0.0044513047,0.17089227,-0.034467015,-0.0064979317,-0.13859853,-0.01135576,0.23186265,-0.14827132,-0.00097440404,-0.012031132,-0.09483945,0.13442348,-0.1405691,-0.03536302,-0.07892428,-0.10799131,-0.0050161425,0.019910786,-0.22304879,0.3138191,0.088141926,-0.10649707,0.15240888,0.112643264,0.30521896,-0.3116485,0.028642537,0.10652215,0.2951729,0.19663875,0.16168901,0.18752679,0.11458881,-0.1478928,0.23160502,0.014627468,-0.12389817,-0.0857801,-0.21592495,-0.115035295,-0.013394747,-0.17155409,-0.3176602,0.3913652,0.04211939,0.10560645,0.031512864,0.13981128,0.12867515,-0.009648209,-0.2649398,0.43632534,0.22663413,0.025187818,-0.185376,0.040481824,0.07043082
친구,-0.124506876,0.35436273,-0.058617,0.099439375,0.083196744,-0.15537098,0.12398839,0.21639122,-0.32868102,-0.037266217,-0.08274009,-0.16904195,-0.19828644,0.13358429,-0.00030618592,0.03828125,0.18592772,-0.113310136,-0.15521514,-0.57954645,-0.029222172,0.025698693,0.4605699,-0.0012918811,-0.04090801,0.027206099,-0.09535491,-0.040930822,-0.12342261,0.16336322,0.31176546,-0.35072982,0.2202039,-0.51401335,-0.18816683,0.02154225,0.039199155,0.18203695,-0.21152179,-0.062511705,-0.033826128,-8.754173e-05,-0.058951776,0.08416366,0.15857995,-0.042234078,-0.06956983,-0.18342215,0.040300634,0.27843785,-0.1677058,0.05271938,-0.06147451,-0.10617619,0.15636182,-0.15815604,0.016319586,-0.15180218,-0.14062293,0.021653963,0.044080645,-0.21089315,0.3351008,0.15228562,-0.12936173,0.22654374,0.095584445,0.34391358,-0.277795,0.0034149173,0.09779579,0.30115005,0.16875261,0.20979902,0.20371136,0.15679398,-0.12461269,0.27516177,0.042677283,-0.16496663,-0.054213844,-0.18527596,-0.15568584,-0.039096028,-0.13598129,-0.31918183,0.4493615,0.0993428,0.15234816,-0.038473062,0.123324946,0.14447135,-0.017792154,-0.2576716,0.46683517,0.23451985,-0.025354072,-0.2027182,0.044694766,0.024730578
수,0.03518839,0.2941094,-0.006717919,0.09885329,0.123292916,-0.056359794,0.15230085,0.13190824,-0.13384481,-0.013152145,0.094459385,-0.2441383,0.0022164898,-0.019176167,0.010122505,0.0057655713,0.091738254,-0.20897903,-0.056514706,-0.357531,0.044378594,0.1580755,0.24644615,-0.038523294,0.024377318,-0.012235959,-0.045744263,-0.031269398,-0.12143563,0.054519154,0.22664182,-0.13603067,0.16842325,-0.17144515,-0.25263166,0.11588922,0.008439443,0.003278711,-0.13543862,-0.26299775,-0.052691035,-0.02622403,-0.005951281,0.056069966,0.081623375,0.08350374,-0.16513808,-0.065956905,0.012481345,0.2112809,-0.12473137,-0.077413306,-0.06552685,-0.09744725,-0.045630675,-0.0086229555,-0.010773183,-0.014750168,-0.085000835,-0.06058315,0.0036817817,-0.10979011,0.09371387,0.14547016,-0.25489518,0.20019312,-0.09615868,0.21135816,-0.26999587,0.06442454,-0.12734763,0.26356858,0.19475657,0.0116600795,0.09466988,0.014384004,-0.0021327385,0.056835078,-0.14570782,0.034890443,0.008319028,-0.16701536,-0.12653583,0.17452228,0.08555321,-0.096607134,0.13811721,0.03851697,0.19404273,-0.02382278,0.13061199,0.014012829,-0.014730814,-0.055282034,0.2836463,0.28098685,0.06827055,-0.12113344,0.009687718,-0.09255258
질문,-0.034178488,0.29642624,-0.07026828,0.043435477,0.10519591,-0.032867856,0.19715229,0.2847097,-0.07394714,-0.09832645,0.028290337,-0.10851004,0.036293074,0.15006104,-0.07366094,-0.10541946,0.11261339,-0.022823403,-0.10784857,-0.65731364,0.102337934,-0.068358734,-0.0107024675,0.1505185,0.17560884,-0.11906015,0.08055243,0.11189237,-0.13541865,0.01630488,-0.025765367,-0.19327673,0.16645834,-0.27102476,-0.21395086,0.24593905,0.4959322,0.14482842,-0.3258669,0.11084591,-0.18423894,0.07358631,-0.22872256,0.3719167,0.14210932,0.004503214,-0.04638455,-0.02449529,0.13350868,0.44470876,-0.16275051,0.10619589,-0.051746655,0.16404133,-0.074473016,-0.20026663,0.17350557,-0.26292083,-0.11729798,0.07354238,0.083218396,-0.11800898,0.53417474,-0.13411158,-0.52944136,0.28168738,-0.12324383,0.24715084,-0.33115572,0.002581413,-0.02144641,0.67395896,0.2110944,0.1538351,0.2680287,0.25092033,-0.084998034,0.29687056,-0.19381224,-0.18230204,0.127181,-0.007681768,-0.28203356,0.008474142,-0.088302635,-0.13247976,0.20962943,-0.03211355,0.32230443,0.20882933,0.010331091,0.38089696,0.035813175,0.019864023,0.4877144,0.3222996,0.11471725,-0.13461417,0.23899022,-0.21035197
부탁,0.011725693,0.29644665,-0.021140547,0.14532104,0.086617604,-0.04864137,0.1640572,0.13515301,-0.19750609,0.01635324,0.035379473,-0.18142137,-0.074447796,0.106975846,-0.00313751,0.051647205,0.12737815,-0.1132347,-0.10274062,-0.48927593,-0.0017200332,0.07241522,0.26414183,0.026291452,-0.03218789,-0.023489699,-0.051193982,-0.04301643,-0.12851033,0.09771512,0.23969135,-0.27158323,0.24130711,-0.38996726,-0.21548526,0.0781382,0.1036581,0.14434512,-0.21721825,-0.106345385,-0.05936357,-0.00078721694,-0.0480495,0.07894035,0.1335269,-0.0032579666,-0.08529579,-0.11681375,0.0042318506,0.30649623,-0.2180769,0.007995547,-0.061728287,-0.055167183,0.11971376,-0.105813056,-0.03439848,-0.08531346,-0.09698095,-0.0072933384,0.028764809,-0.18563223,0.24810997,0.12851821,-0.19522972,0.1472152,-0.058125075,0.28611976,-0.21525477,0.045576975,0.10318391,0.30414337,0.22360921,0.15607901,0.16038758,0.045502976,-0.05873794,0.15270656,-0.05168401,-0.110239945,-0.03452804,-0.18852708,-0.16811629,0.006452334,-0.10177901,-0.28215328,0.23571274,0.023287896,0.1940114,-0.02556749,0.096857496,0.11824423,-0.0019940506,-0.1124785,0.3986097,0.2563451,-0.037603725,-0.16391498,0.010471782,-0.05171199
숙소,-0.016665397,0.25300768,0.00021960746,0.07717459,0.09853436,-0.14212617,0.14996101,0.19931187,-0.23579136,-0.08021093,0.006385311,-0.250868,-0.06074479,0.060714647,0.039659746,-0.034176398,0.07698932,-0.18674935,-0.06917502,-0.46320173,0.05926704,0.06746764,0.33554292,-0.111624084,-0.006456342,-0.029819915,-0.08488688,-0.012330326,-0.15669574,0.098058395,0.26043463,-0.20803289,0.15769412,-0.30791038,-0.18379746,0.10267371,-0.00854015,0.031902976,-0.15516782,-0.21361442,0.000576223,-0.04882005,-0.024570936,0.072152175,0.14373708,0.0052716597,-0.1265632,-0.12278814,0.008578208,0.22221142,-0.08287792,-0.018551497,-0.060254954,-0.10019125,0.036057618,-0.015887257,-0.0042422353,-0.0489569,-0.111442715,-0.027092317,0.010020338,-0.11474722,0.1449328,0.17932531,-0.18237676,0.21291591,0.009457107,0.2992859,-0.25693333,0.09604573,-0.0815289,0.2339821,0.18416591,0.101746894,0.15405987,0.06693466,-0.008221154,0.12934318,-0.049013697,0.048114438,-0.042807873,-0.12922901,-0.14604805,0.15975423,-0.02784277,-0.16609749,0.22295812,0.104677685,0.19609995,-0.02639445,0.18052351,0.06238224,-0.0033948582,-0.14605124,0.3665376,0.29511604,-0.011189594,-0.15862694,0.008993678,-0.08606333
거,0.02937515,0.24163489,-0.043511506,0.12858468,0.09307671,-0.10644397,0.14342101,0.2050748,-0.19896038,-0.054788273,0.0048062857,-0.21253939,-0.076090306,0.048652384,0.015716475,0.01072878,0.06160891,-0.17177282,-0.038266994,-0.43084204,0.026023049,0.060943633,0.26410475,-0.04999187,0.026300928,-0.043467645,-0.064973414,0.005016946,-0.085956514,0.056416776,0.2376849,-0.18480453,0.19875154,-0.22482327,-0.20032547,0.09706329,0.054659285,0.001130186,-0.16130148,-0.21579269,-0.091086395,-0.023261806,0.0055801477,0.11189719,0.104807295,0.01978636,-0.13531177,-0.09283908,0.025187843,0.26583812,-0.13622542,-0.01268891,-0.11515462,-0.060323384,0.011042018,-0.029069617,0.0140041225,-0.08317074,-0.104777105,-0.033688225,0.029092524,-0.07944383,0.15313399,0.17792097,-0.2711334,0.20646262,-0.014708881,0.27756715,-0.2467255,0.07607316,-0.07373987,0.2589455,0.18869346,0.10805212,0.17531663,0.0993742,-0.028229274,0.11627994,-0.09484575,0.0072220736,0.000637103,-0.13021383,-0.16664772,0.14221103,-0.004494333,-0.15277866,0.17653298,0.117420815,0.18161717,-0.02733806,0.10942589,0.086157784,-0.02430656,-0.07546861,0.3565195,0.2785097,-0.0027730928,-0.16024607,0.0303034,-0.09127284
것,0.03370131,0.3019513,-0.012882751,0.114494376,0.085566096,-0.06770242,0.16042444,0.1648787,-0.1581403,-0.003218303,0.044821817,-0.22842377,-0.02527197,0.0012644082,0.01645251,0.026394065,0.09052234,-0.21624662,-0.063183926,-0.38371733,0.011390835,0.13594535,0.26830545,-0.06471825,-0.015850281,-0.008791326,-0.07503153,-0.05715223,-0.10383903,0.07547681,0.2481069,-0.16524172,0.18951346,-0.18523286,-0.2510333,0.11099976,-0.024260173,-0.035594758,-0.14724298,-0.27343428,-0.06002314,-0.016029922,0.019530062,0.037735794,0.0908884,0.04844784,-0.15856881,-0.09394641,0.007778489,0.22520865,-0.15702298,-0.06435144,-0.102026045,-0.09038079,-0.041534822,0.028627934,0.008502634,-0.0076476177,-0.077551484,-0.058282256,0.010705059,-0.12336567,0.06548139,0.16251558,-0.23338188,0.20415634,-0.06854467,0.21944487,-0.2728391,0.07788142,-0.12558983,0.24647701,0.19323425,0.03137376,0.11543995,0.039305154,-0.013191708,0.07110985,-0.129258,0.029503673,-0.006604866,-0.16576238,-0.1366734,0.1866203,0.06918079,-0.12274664,0.14084592,0.06773731,0.18299723,-0.031841528,0.12643458,0.019686699,-0.047190923,-0.06720457,0.28346944,0.27773604,0.035653867,-0.14110424,0.0106982505,-0.05807883
