word,count
객사,14
벚꽃,14
끝,14
달동네,14
바다,14
데이트,14
검색,14
막걸리,14
형편,14
걸,14
낮,14
대구,14
건,14
오푸스,14
학년,14
순서,14
식당,14
돈,14
일요일,14
지,14
감포,14
수목원,14
향교,14
화마,13
문화재,13
단지,13
거기,13
확인,13
고속버스,13
천마총,13
반려,13
전북,13
겨울,13
객리,13
중순,13
운전,13
내일,13
추가,13
여름,12
경기도,12
조언,12
축제,12
정리,12
대전,12
환영,12
역,12
가지,12
이,12
찜질방,12
산책,12
강아지,12
첨부,12
딸,12
개,12
남산,11
도,11
학생,11
경험,11
주차,11
초등,11
자동차,11
기준,11
오,11
맛,11
보문관광단지,11
점,11
전주식,11
관람,11
문의,11
민박,11
파크,11
핫,10
여러분,10
이상,10
지식,10
휴가,10
걱정,10
신라,10
첫째,10
이후,10
비빔밥,10
주상,10
주사,10
자연,10
압지,10
절리,10
채택,10
남,10
날짜,10
동물,9
문자,9
요즘,9
간,9
목대,9
적,9
월요일,9
건데요,9
코로나,9
카테고리,9
왕복,9
경로,9
밑,9
벽,9
신경,9
아버지,9
인천,9
식,9
중간,9
애견,9
고려,9
중심,9
쯤,9
학교,9
자가용,9
어머니,9
중요,9
겸,9
연휴,9
교통,9
경주역,9
여유,9
출발지,9
렌트카,8
제외,8
성당,8
전주역,8
예상,8
남친,8
울산,8
자만,8
필수,8
창원,8
용,8
뭐,8
아들,8
현지,8
군데,8
캐릭터,8
대표,8
평일,8
조절,8
법,8
요금,8
홈페이지,8
야시장,8
할머니,8
행복,8
어딜,8
급,8
가이드,7
교통비,7
가을,7
님,7
동네,7
간식,7
눈,7
식도락,7
토,7
설명,7
위험,7
위,7
전주비빔밥,7
리조트,7
내용,7
대부분,7
초등학생,7
무리,7
기간,7
어른,7
양동,7
청년,7
주세요,7
고등학교,7
마지막,7
고등학생,7
링크,7
장미,7
장,7
분위기,7
불편,7
플레이스,7
여,7
이외,6
인원,6
대형,6
대명,6
특별,6
지식인,6
옆,6
유명,6
보통,6
수단,6
시내버스,6
사이,6
사용,6
주요,6
북대,6
앞,6
애,6
부족,6
애인,6
야간,6
봄,6
체크인,6
통영,6
초코파이,6
최대,6
방학,6
예전,6
정복,6
옥,6
릉,6
전주시,6
렌탈,6
태풍,6
테마,6
전세,6
방,6
입장,6
고향,6
가본적,6
경주시,6
결정,6
효율,6
풍남문,6
건가요,6
군대,6
길거리,6
한정식,6
질,5
시절,5
무료,5
짐,5
공부,5
삼,5
개장,5
지금,5
의견,5
전일,5
주신,5
정,5
무엇,5
평택,5
무열왕릉,5
곡성,5
게요,5
문제,5
사,5
책,5
공항,5
풍남,5
네이버,5
주만,5
관심,5
수원,5
남편,5
마음,5
순위,5
순천,5
중학생,5
술집,5
숨,5
슈퍼,5
지리,5
콜로세움,5
완산,5
소요,5
교동,5
만큼,5
터,5
맞춤,5
교복,5
라,5
요번,5
맥,5
떡갈비,5
시기,5
코,5
오랜만,5
꽃,5
클릭,5
자,5
유적,5
반,5
반나절,5
기본,5
영화제,5
최고,5
밥,5
규모,5
개별,5
덕진구,5
여학생,5
다양,5
계절,5
배달,5
앱,5
다섯,5
권역,5
답,5
감성,5
경기,5
운영,5
원조,4
진주,4
전통문화,4
청소년,4
밖,4
이미지,4
머,4
완주,4
청주,4
값,4
요소,4
금액,4
기념,4
촌,4
지인,4
최소한,4
난장,4
최대한,4
최적,4
배차,4
기사,4
최근,4
기온,4
황성,4
이모,4
최고봉,4
입장료,4
밥집,4
절,4
나이,4
감,4
바퀴,4
뷰,4
바베큐,4
회사,4
그곳,4
카톡,4
첨성,4
첨,4
충주,4
미술관,4
할인,4
까지,4
빵,4
부분,4
문화유산,4
미성년자,4
한화,4
음식점,4
개인,4
궁원,4
친정,4
회관,4
그때,4
의미,4
진행,4
부,4
전라,4
갤러리,4
미,4
욤,4
서신동,4
명주,4
생활,4
이강주,4
용돈,4
무궁화호,4
상황,4
상태,4
끼,4
용진,4
구여,4
칼국수,4
그쪽,4
산,4
바닷가,4
연락,4
드립,4
영화,4
대학,4
편리,4
계산,4
대중,4
둘레길,4
어머님,4
언덕,4
시청,4
팁,4
현대,4
조합,4
시외,4
대안,4
테마파크,4
시민,4
시대,4
댓글,4
실패,4
가려,4
예보,4
안내,4
안주,4
인터넷,4
주가,4
아중,4
고택,4
도로공사,4
호수,4
고도,4
동,4
계획표,4
편안,4
예술,4
일반,4
십,4
화랑,4
도서관,4
테,4
이유,4
파악,4
내년,4
중학교,4
탐방,4
제품,4
여성,4
관광호텔,4
경북,4
스케줄,4
경주로,4
닭,4
완산구,4
