word,count
이상,5
포항,5
교통비,5
주만,5
삼,5
전일,5
군대,5
앞,5
완산,5
맥,5
카톡,4
필수,4
갤러리,4
산,4
도로공사,4
역,4
절,4
시외,4
방,4
아중,4
회관,4
떡갈비,4
수원,4
방학,4
난장,4
둘레길,4
전라,4
서신동,4
자연,4
바다,4
이강주,4
원조,4
요즘,4
닭,4
용진,4
내용,4
최고봉,4
추가,4
대학,4
주가,4
명주,4
주세요,4
가을,4
현지,4
머,4
제품,4
소개,4
풀,4
회사,4
댓글,4
편,4
렌트카,4
기간,4
반려,4
쯤,4
돈,4
무리,4
칼국수,4
데이트,4
밥집,4
여러분,4
식당,4
학년,4
완산구,4
영화,4
링크,4
위험,4
이미지,4
클릭,4
도서관,4
전통문화,4
걸,4
제외,4
어딜,4
부족,4
여학생,4
조합,4
안주,4
관광호텔,4
님,4
경험,4
지식,4
년,4
교복,4
위,4
애인,4
완주,4
겸,4
완도,4
지식인,4
둘째,3
효율,3
통영,3
수지,3
첫째,3
바퀴,3
사이,3
편도,3
용,3
미성년자,3
채택,3
이후,3
전주고속,3
가려,3
사이트,3
끼,3
연꽃,3
상세,3
항공,3
검사,3
청소년,3
울산,3
마이산,3
군데,3
콩나물국,3
여친,3
술집,3
진주,3
그쪽,3
시민,3
저수지,3
광장,3
ㄴ,3
행,3
촌,3
테마파크,3
오빠,3
임실,3
건데요,3
스케줄,3
해산물,3
간,3
조식,3
옆,3
그곳,3
개인,3
순경,3
분과,3
관람,3
의미,3
체크인,3
해외,3
목요일,3
골목,3
축제,3
이것,3
소양,3
델,3
첫날,3
실망,3
인터넷,3
리모,3
토박이,3
해봉,3
여유,3
가게,3
표기,3
가면라이더,3
천안,3
아이돌,3
연휴,3
입장,3
부담,3
연락,3
학교,3
치즈,3
목포,3
일반,3
요소,3
한국도로공사,3
감,3
감성,3
짐,3
개,3
복귀,3
분위기,3
지난주,3
내부,3
앱,3
고려,3
소리,3
교동,3
의견,3
미술관,3
다양,3
문자,3
수단,3
부분,3
결정,3
휴가,3
값,3
초등,3
전시회,3
