rank,title,subtitle,writer,price,grade,image
67,이기적 유전자 The Selfish Gene,서울대 출신 약사가 제안하는 생활밀착형 약학 상식!,슈뻘맨,"18,000",9.1,https://image.yes24.com/goods/65067259/L
68,퓨처 셀프 30만 부 기념 스페셜 에디션,다정한 양육은 어떻게 아이를 망치는가,서후,"19,800",10.0,https://image.yes24.com/goods/133809700/L
69,바꿔 봐 바꿔 봐 뾰족뾰족 미운 말,살찌지 않는 뇌를 만드는 21일 식습관 혁명,류수형,"14,850",9.7,https://image.yes24.com/goods/146518159/L
70,살롱 드 경성 2,피보다 진하게 살아라,샌드박스 네트워크,"18,900",9.9,https://image.yes24.com/goods/145710715/L
71,2025 선재국어 최우선 실전 봉투 모의고사,자기만의 손익비를 찾아라!,정재형,"16,200",9.7,https://image.yes24.com/goods/144093398/L
72,김재우의 기초 영어회화 100,"직선·곡선 선 긋기,여러 가지 선 긋기,한글·숫자 선 긋기",데일 카네기,"17,010",9.3,https://image.yes24.com/goods/139853780/L
73,니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜 (리커버 에디션),특별판,임상훈,"15,750",9.8,https://image.yes24.com/goods/125617545/L
74,긴긴밤,세계 역사 문화 체험 학습만화,호카조노 타케루,"11,250",10.0,https://image.yes24.com/goods/97255028/L
75,아이의 어휘력을 위한 66일 필사 노트,,레베카 야로스,"16,650",9.6,https://image.yes24.com/goods/145346626/L
76,2025 제16회 젊은작가상 수상작품집,,이수현,"6,930",10.0,https://image.yes24.com/goods/144248311/L
77,수능을 좌우하는 중학 국어 공부법,,신도 마사오키,"18,900",9.9,https://image.yes24.com/goods/146032669/L
78,중등 필독 신문,,이루다,"16,020",9.0,https://image.yes24.com/goods/125076435/L
79,마음의 기술,,리처드 도킨스,"18,900",9.6,https://image.yes24.com/goods/138831340/L
80,동공이 약사의 알찬 약국,,홍영남,"18,000",9.7,https://image.yes24.com/goods/145222519/L
81,고래눈이 내리다,,이상임,"15,120",9.8,https://image.yes24.com/goods/146651623/L
82,어린이를 위한 철학자의 말,,벤저민 하디,"17,010",9.3,https://image.yes24.com/goods/143652533/L
83,홍학의 자리,,최은아,"12,600",9.5,https://image.yes24.com/goods/102791425/L
84,참을 수 없는 존재의 가벼움,,사이토 다카시,"15,300",9.5,https://image.yes24.com/goods/61933303/L
85,이처럼 사소한 것들,,가와하라 미즈마루,"12,420",9.7,https://image.yes24.com/goods/123400303/L
86,파리 잡기 대회,,권남희,"10,800",10.0,https://image.yes24.com/goods/23048418/L
87,시든 꽃에 눈물을 1~2 세트,,김인혜,"28,800",9.5,https://image.yes24.com/momo/PD_19_L.gif
88,허영만의 주식 타짜 ― 슈퍼개미 이세무사,,이선재,"15,120",10.0,https://image.yes24.com/goods/146851102/L
89,부서지는 아이들,,김재우,"19,800",9.0,https://image.yes24.com/goods/145610947/L
90,식탐 해방,,프리드리히 니체,"17,820",8.9,https://image.yes24.com/goods/146282334/L
91,세이노의 가르침,,김지민,"6,480",9.6,https://image.yes24.com/goods/117014613/L
92,"책문, 이 시대가 묻는다",,루리,"19,800",10.0,https://image.yes24.com/goods/18502393/L
93,손실은 짧게 수익은 길게,,김종원,"22,500",10.0,https://image.yes24.com/goods/145124304/L
94,여름 피치 스파클링,,백온유,"10,800",9.6,https://image.yes24.com/goods/147034731/L
95,혼자서도 잘하는 첫 선 긋기,,강보라,"6,750",9.9,https://image.yes24.com/goods/140481851/L
96,타키 포오 코믹 어드벤처 8,,서장원,"13,050",,https://image.yes24.com/goods/147032804/L
97,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",,성해나,"17,550",,https://image.yes24.com/goods/140231250/L
98,코스모스,,성혜령,"17,910",,https://image.yes24.com/goods/2312211/L
99,피를 마시는 새 출판 20주년 일러스트 특별 한정판 바둑판 미니어처 세트,,김민정,"234,000",,https://image.yes24.com/goods/146965350/L
100,Go Go 카카오프렌즈 36 포르투갈,,이현옥,"15,120",,https://image.yes24.com/goods/146482177/L
101,2025 이동기 영어 신경향 직전동형 모의고사 Vol.2,주기율표에 숨겨진 우리 주변의 신기한 비밀들,(주)이앤미래(이동기),"13,500",10.0,https://image.yes24.com/goods/143916682/L
102,세상을 움직이는 놀라운 화학,마음은 단단하게 지키고 아이는 더 사랑하는,표트르 발치트,"16,920",9.9,https://image.yes24.com/goods/147056032/L
103,흔한남매 과학 탐험대 14 화학 반응,기초 문형으로 회화부터 JLPT까지,마리아 샤라포바,"15,120",10.0,https://image.yes24.com/goods/145417020/L
104,부모의 어휘력을 위한 66일 필사 노트,흔들리지 않고 무엇이든 해내는 마음근력,리사 카진스카야,"19,800",9.5,https://image.yes24.com/goods/145337604/L
105,자유론,위대한 변화를 이끌어내는 아주 작은 실행의 힘,이경아,"7,920",9.6,https://image.yes24.com/goods/61158900/L
106,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,당신은 왜 부자가 되지 못했는가,이황기,"12,510",9.6,https://image.yes24.com/goods/102502665/L
107,마음에 힘이 되는 하루 한 문장 영어 필사,살찌지 않는 건강한 몸으로 되돌리는 4주 다이어트 식단,흔한남매,"19,800",9.8,https://image.yes24.com/goods/142609163/L
108,그릿 GRIT,흔들리는 시간을 넘어 단단히 나를 세우는 법,김언정,"16,920",9.4,https://image.yes24.com/goods/142805048/L
109,행동하지 않으면 인생은 바뀌지 않는다,인간 사회의 운명을 바꾼 힘,송은경,"15,210",10.0,https://image.yes24.com/goods/138282792/L
110,읽으면서 바로 써먹는 어린이 초등 교과 어휘,아름다운 부자 김장하 취재기,김덕영,"11,700",10.0,https://image.yes24.com/goods/145323420/L
111,찾아봐 찾아봐 예쁜 말 미운 말,부와 권력은 왜 불평등을 허락하는가,최진수,"12,600",9.8,https://image.yes24.com/goods/143877328/L
